baseline,model,hour,n,MAE,RMSE,MAPE_%,bias_mean,actual_mean,predicted_mean,under_predict_%
Baseline_B,6_XGBoost,6,144,12.0588,15.5065,11.7237,0.191,108.2951,108.104,47.2222
Baseline_A,5_RandomForest,8,144,12.3131,14.958,9.3587,-1.5912,135.4077,136.9989,46.5278
Baseline_B,6_XGBoost,17,144,12.1815,14.8727,8.5429,-0.1389,146.1956,146.3345,46.5278
Baseline_A,5_RandomForest,18,144,11.168,14.738,8.3743,1.2307,136.4365,135.2058,56.9444
Baseline_A,5_RandomForest,16,144,11.5976,14.6943,7.8309,3.6797,148.5481,144.8684,59.7222
Baseline_B,6_XGBoost,7,144,11.1438,14.5634,8.5702,1.779,131.551,129.7721,55.5556
Baseline_B,6_XGBoost,19,144,12.0895,14.5545,13.6744,-2.4814,95.341,97.8223,46.5278
Baseline_B,6_XGBoost,2,144,11.377,14.4802,27.1223,0.8362,48.8733,48.0371,52.0833
Baseline_A,5_RandomForest,17,144,11.2312,14.3177,7.3377,0.3363,156.4241,156.0878,48.6111
Baseline_B,6_XGBoost,8,144,11.6912,14.2449,9.6869,-0.4701,124.9418,125.4119,46.5278
Baseline_B,6_XGBoost,16,144,10.5971,14.1895,8.0861,0.2632,137.1225,136.8593,51.3889
Baseline_B,6_XGBoost,15,144,11.2155,14.0188,10.4113,3.298,109.2191,105.9211,59.7222
Baseline_A,5_RandomForest,1,144,11.3859,13.7899,24.8971,0.1215,52.2701,52.1486,45.1389
Baseline_A,5_RandomForest,5,144,11.1957,13.6856,13.2487,3.0561,87.2876,84.2314,61.1111
Baseline_B,6_XGBoost,4,144,10.9507,13.675,21.4141,0.801,58.1831,57.382,53.4722
Baseline_B,6_XGBoost,13,144,11.109,13.5623,23.2901,-0.4924,57.079,57.5714,52.7778
Baseline_A,5_RandomForest,14,144,10.3273,13.4562,12.8502,1.4282,83.5758,82.1475,50.0
Baseline_A,5_RandomForest,19,144,10.4542,13.4396,10.6607,0.429,103.3516,102.9226,54.1667
Baseline_A,5_RandomForest,7,144,11.1817,13.3546,7.8504,2.1118,144.1117,141.9999,56.9444
Baseline_B,6_XGBoost,18,144,10.7118,13.3346,8.504,1.2626,129.113,127.8503,57.6389
Baseline_A,5_RandomForest,12,144,10.5434,13.2871,21.9071,-1.6231,55.3883,57.0114,46.5278
Baseline_B,6_XGBoost,5,144,10.668,13.1508,13.9324,0.3582,79.1718,78.8136,47.2222
Baseline_B,6_XGBoost,11,144,10.7052,13.1496,21.3623,-0.312,54.1244,54.4364,48.6111
Baseline_B,6_XGBoost,21,192,10.5952,13.1136,27.4108,-1.738,49.8195,51.5575,43.2292
Baseline_B,6_XGBoost,22,192,10.6117,13.0795,26.4415,0.0709,46.0028,45.9319,44.7917
Baseline_A,5_RandomForest,4,144,10.5797,13.0358,18.5259,0.0331,62.9536,62.9205,48.6111
Baseline_B,6_XGBoost,12,144,10.0066,12.9975,23.344,0.1239,51.8435,51.7197,50.0
Baseline_A,5_RandomForest,13,144,10.4822,12.9675,17.0645,1.7271,64.3332,62.6061,55.5556
Baseline_A,5_RandomForest,6,144,10.0864,12.9649,8.9963,-0.1811,117.4901,117.6712,52.7778
Baseline_B,6_XGBoost,23,180,10.3006,12.8695,29.4382,-0.4837,44.4612,44.945,45.0
Baseline_A,5_RandomForest,15,144,10.1553,12.7204,8.7764,2.5586,117.0532,114.4946,59.0278
Baseline_A,5_RandomForest,3,144,10.0478,12.7117,20.0729,1.8208,54.9421,53.1213,56.9444
Baseline_B,6_XGBoost,14,144,10.0552,12.6801,13.649,-0.5741,77.8403,78.4144,47.2222
Baseline_A,5_RandomForest,20,176,10.0451,12.668,15.4639,-1.377,70.7212,72.0982,44.8864
Baseline_B,6_XGBoost,9,144,10.1534,12.6117,11.1169,-0.5134,95.6236,96.137,45.8333
Baseline_A,5_RandomForest,0,144,9.5302,12.3616,22.9384,-0.6145,50.7744,51.3889,47.9167
Baseline_B,6_XGBoost,1,144,9.5644,12.3564,25.9849,-1.1606,45.9282,47.0887,49.3056
Baseline_A,5_RandomForest,23,180,9.8762,12.1876,21.6009,1.3136,50.1078,48.7942,52.2222
Baseline_B,6_XGBoost,0,144,9.704,12.1748,24.5038,0.2011,47.2333,47.0322,47.2222
Baseline_A,5_RandomForest,21,192,9.5997,12.1542,21.0231,-2.3241,54.8701,57.1942,39.0625
Baseline_A,5_RandomForest,9,144,9.649,12.1528,9.6013,-0.6312,104.3071,104.9383,47.2222
Baseline_A,5_RandomForest,11,144,9.7122,12.112,19.6848,-1.4908,57.3531,58.844,43.0556
Baseline_A,5_RandomForest,22,192,9.9305,12.1076,24.1816,-2.0531,48.9223,50.9754,44.2708
Baseline_A,5_RandomForest,10,144,9.6044,12.0875,13.578,-1.3406,75.8338,77.1744,42.3611
Baseline_B,6_XGBoost,3,144,9.4385,11.9592,21.4647,-0.2115,50.0742,50.2857,45.1389
Baseline_B,6_XGBoost,20,176,9.1733,11.7436,14.8651,-0.4743,65.3121,65.7864,42.6136
Baseline_A,5_RandomForest,2,144,9.1574,11.6691,21.5531,-1.328,51.264,52.592,42.3611
Baseline_B,6_XGBoost,10,144,9.1405,11.6209,14.5313,-0.2464,69.5956,69.842,50.0
