case,scenario,model,n_train,n_test,MAE,RMSE,MAPE,R2,MASE,baseline,synthetic_ratio
Baseline_A | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,8446,13.6873,17.037,22.2071,0.8273,0.9992,Baseline_A,0.5
Baseline_A | 5_RandomForest,Train Fake / Test Real,5_RandomForest,8446,16892,13.0117,16.3126,20.1285,0.8129,0.2838,Baseline_A,0.5
Baseline_A | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,16892,13.549,16.8697,22.3559,0.8284,0.9891,Baseline_A,1.0
Baseline_A | 5_RandomForest,Train Fake / Test Real,5_RandomForest,16892,16892,13.0144,16.3485,20.0874,0.8121,0.2852,Baseline_A,1.0
Baseline_A | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,33784,13.6735,17.015,22.4928,0.8266,0.9982,Baseline_A,2.0
Baseline_A | 5_RandomForest,Train Fake / Test Real,5_RandomForest,33784,16892,13.0876,16.4351,20.2293,0.8101,0.2863,Baseline_A,2.0
Baseline_A | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,8446,14.7008,18.2998,24.169,0.7975,1.0732,Baseline_A,0.5
Baseline_A | 6_XGBoost,Train Fake / Test Real,6_XGBoost,8446,16892,13.9881,17.519,21.2329,0.7842,0.3054,Baseline_A,0.5
Baseline_A | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,16892,14.6051,18.1877,23.7916,0.8029,1.0662,Baseline_A,1.0
Baseline_A | 6_XGBoost,Train Fake / Test Real,6_XGBoost,16892,16892,13.9204,17.4174,21.236,0.7867,0.3027,Baseline_A,1.0
Baseline_A | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,33784,14.6295,18.204,23.9371,0.8015,1.068,Baseline_A,2.0
Baseline_A | 6_XGBoost,Train Fake / Test Real,6_XGBoost,33784,16892,13.9487,17.4491,21.2408,0.7859,0.3043,Baseline_A,2.0
Baseline_B | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,8446,9.7673,12.0697,17.9093,0.8982,0.7181,Baseline_B,0.5
Baseline_B | 5_RandomForest,Train Fake / Test Real,5_RandomForest,8446,16892,12.4528,15.6538,20.3848,0.8049,0.2975,Baseline_B,0.5
Baseline_B | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,16892,9.752,12.0342,17.8836,0.899,0.7169,Baseline_B,1.0
Baseline_B | 5_RandomForest,Train Fake / Test Real,5_RandomForest,16892,16892,12.3929,15.5893,20.2785,0.8065,0.2955,Baseline_B,1.0
Baseline_B | 5_RandomForest,Train Real / Test Fake,5_RandomForest,16892,33784,9.7901,12.0861,17.9551,0.8977,0.7197,Baseline_B,2.0
Baseline_B | 5_RandomForest,Train Fake / Test Real,5_RandomForest,33784,16892,12.4574,15.6716,20.3448,0.8045,0.2942,Baseline_B,2.0
Baseline_B | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,8446,11.7928,14.5005,21.1327,0.8527,0.867,Baseline_B,0.5
Baseline_B | 6_XGBoost,Train Fake / Test Real,6_XGBoost,8446,16892,12.6399,15.9022,20.9136,0.7987,0.2996,Baseline_B,0.5
Baseline_B | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,16892,11.7673,14.5007,21.3391,0.8526,0.8651,Baseline_B,1.0
Baseline_B | 6_XGBoost,Train Fake / Test Real,6_XGBoost,16892,16892,12.5305,15.7684,20.7466,0.8021,0.2974,Baseline_B,1.0
Baseline_B | 6_XGBoost,Train Real / Test Fake,6_XGBoost,16892,33784,11.7647,14.4996,21.2691,0.8528,0.8649,Baseline_B,2.0
Baseline_B | 6_XGBoost,Train Fake / Test Real,6_XGBoost,33784,16892,12.584,15.8318,20.8113,0.8005,0.2974,Baseline_B,2.0
