stage,baseline,model,case,synthetic_ratio,feature,mean_abs_shap,is_other,rank
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_roll_mean_3,26.93259661455704,False,1
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_roll_mean_6,4.041844494780385,False,2
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,occupancy_roll_mean_3,2.627441287293602,False,3
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_lag_12,1.9045086383655117,False,4
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,hour,1.6833870799028836,False,5
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,other,0.6908385839309115,True,6
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,occupancy_lag_12,0.5569514233858079,False,7
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,occupancy_roll_mean_6,0.5252312964160774,False,8
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_roll_mean_12,0.3888101807798355,False,9
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,occupancy_roll_mean_12,0.3269598807077957,False,10
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,weekday,0.3251416000205611,False,11
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,is_weekend,0.24680851365934972,False,12
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,speed_roll_mean_6,0.08292228802388192,False,13
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_roll_std_12,0.07421129007844966,False,14
gan_best,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,0.0,flow_lag_3,0.07035068877832869,False,15
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,flow_roll_mean_3,15.231024742126465,False,1
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,occupancy_roll_mean_3,8.236417770385742,False,2
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,hour,5.002434253692627,False,3
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,flow_roll_mean_6,3.682917594909668,False,4
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,other,3.6358609199523926,True,5
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,flow_lag_3,2.1318228244781494,False,6
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,occupancy_roll_mean_6,1.9548630714416504,False,7
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,weekday,0.8139777183532715,False,8
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,flow_lag_12,0.8023578524589539,False,9
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,flow_roll_mean_12,0.6751583814620972,False,10
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,speed_roll_mean_3,0.6296537518501282,False,11
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,speed_lag_6,0.509442925453186,False,12
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,occupancy_roll_mean_12,0.4627450406551361,False,13
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,occupancy_lag_12,0.4510318338871002,False,14
gan_best,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,0.0,occupancy_lag_3,0.3529042899608612,False,15
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,flow_roll_mean_3,25.999983150969413,False,1
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,flow_roll_mean_6,4.4933538633432795,False,2
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,flow_lag_12,1.630918786985122,False,3
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,occupancy_roll_mean_3,1.4222905252707962,False,4
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,hour,1.2562806216366411,False,5
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,other,0.666160196206948,True,6
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,occupancy_lag_12,0.6167763748983565,False,7
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,flow_roll_mean_12,0.5435717014115664,False,8
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,occupancy_roll_mean_6,0.5163668605438273,False,9
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,occupancy_roll_mean_12,0.34631774159575607,False,10
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,is_weekend,0.2616088311303505,False,11
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,weekday,0.24380735608802123,False,12
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,flow_lag_3,0.1900294172995162,False,13
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,occupancy_lag_3,0.07801966836381373,False,14
gan_best,Baseline_B,5_RandomForest,Baseline_B | 5_RandomForest,0.0,speed_lag_6,0.046260411684896745,False,15
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,flow_roll_mean_3,13.321306228637695,False,1
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,occupancy_roll_mean_3,9.153963088989258,False,2
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,hour,5.1543073654174805,False,3
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,flow_roll_mean_6,3.5474014282226562,False,4
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,other,3.5204660892486572,True,5
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,flow_lag_3,2.707156181335449,False,6
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,occupancy_roll_mean_6,1.7270960807800293,False,7
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,speed_roll_mean_3,1.0441806316375732,False,8
gan_best,Baseline_B,6_XGBoost,Baseline_B | 6_XGBoost,0.0,weekday,0.8594335913658142,False,9
