baseline,model,case,feature,optimized_rank,optimized_mean_abs_shap,gan_rank,gan_mean_abs_shap,synthetic_ratio,mean_abs_shap_delta
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_3,1.0,27.829809394735978,1.0,26.93259661455704,0.0,-0.8972127801789398
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_6,2.0,4.199433646854517,2.0,4.041844494780385,0.0,-0.1575891520741317
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_3,5.0,1.596044030492663,3.0,2.627441287293602,0.0,1.0313972568009389
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_lag_12,3.0,2.0714490902794327,4.0,1.9045086383655117,0.0,-0.16694045191392104
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,hour,4.0,1.8676801431083292,5.0,1.6833870799028836,0.0,-0.18429306320544558
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,other,6.0,0.5158761521301329,6.0,0.6908385839309115,0.0,0.17496243180077853
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_lag_12,11.0,0.277321549961374,7.0,0.5569514233858079,0.0,0.27962987342443396
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_6,8.0,0.4000737904348005,8.0,0.5252312964160774,0.0,0.12515750598127684
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_12,9.0,0.368704976592614,9.0,0.3888101807798355,0.0,0.020105204187221504
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_12,12.0,0.22664296769450296,10.0,0.3269598807077957,0.0,0.10031691301329274
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,weekday,7.0,0.43655964538209413,11.0,0.3251416000205611,0.0,-0.11141804536153305
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,is_weekend,10.0,0.30712257590712705,12.0,0.24680851365934972,0.0,-0.06031406224777733
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,speed_roll_mean_6,14.0,0.06545133970541392,13.0,0.08292228802388192,0.0,0.017470948318468002
Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_std_12,,,14.0,0.07421129007844966,0.0,
