stage,baseline,model,case,feature,mean_abs_shap,is_other,rank
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_3,27.829809394735978,False,1
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_6,4.199433646854517,False,2
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_lag_12,2.0714490902794327,False,3
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,hour,1.8676801431083292,False,4
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_3,1.596044030492663,False,5
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,other,0.5158761521301329,True,6
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,weekday,0.43655964538209413,False,7
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_6,0.4000737904348005,False,8
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_roll_mean_12,0.368704976592614,False,9
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,is_weekend,0.30712257590712705,False,10
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_lag_12,0.277321549961374,False,11
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_roll_mean_12,0.22664296769450296,False,12
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,occupancy_lag_3,0.06639738414893163,False,13
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,speed_roll_mean_6,0.06545133970541392,False,14
optimized_original,Baseline_A,5_RandomForest,Baseline_A | 5_RandomForest,flow_lag_3,0.05773068948593032,False,15
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_3,13.729743957519531,False,1
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_3,10.034398078918457,False,2
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,hour,5.1902570724487305,False,3
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_6,4.644776821136475,False,4
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,other,3.3805196285247803,True,5
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_lag_3,2.063663959503174,False,6
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,occupancy_roll_mean_6,1.35090172290802,False,7
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,speed_roll_mean_3,0.9150992035865784,False,8
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,weekday,0.7633851766586304,False,9
optimized_original,Baseline_A,6_XGBoost,Baseline_A | 6_XGBoost,flow_roll_mean_12,0.7578869462013245,False,10
